"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"670706","18","State","0","INDIANA","78566","null","BIRTH009","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","1314073","","null","null","2020","null","59.8","null","1","2020","2110270.168044281","null","All","Published"
"670626","18001","County","3","Adams","632","null","BIRTH009","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","6172","","null","null","2020","null","102.4","null","1","2020","162629.5984913619","null","All","Published"
"670627","18003","County","3","Allen","5191","null","BIRTH009","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","76627","","null","null","2020","null","67.7","null","1","2020","221440.73761390639","null","All","Published"
"670628","18005","County","8","Bartholomew","1038","null","BIRTH009","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","15670","","null","null","2020","null","66.2","null","1","2020","175525.08057116377","null","All","Published"
"670629","18007","County","4","Benton","112","null","BIRTH009","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","1514","","null","null","2020","null","74","null","1","2020","172421.77765137676","null","All","Published"
"670630","18009","County","6","Blackford","125","null","BIRTH009","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","1852","","null","null","2020","null","67.5","null","1","2020","109367.34192007003","null","All","Published"
"670631","18011","County","5","Boone","740","null","BIRTH009","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","13143","","null","null","2020","null","56.3","null","1","2020","175234.8110283405","null","All","Published"
"670632","18013","County","8","Brown","117","null","BIRTH009","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","2186","","null","null","2020","null","53.5","null","1","2020","150101.6167605461","null","All","Published"
"670633","18015","County","4","Carroll","244","null","BIRTH009","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","3408","","null","null","2020","null","71.6","null","1","2020","175424.4597740168","null","All","Published"
"670634","18017","County","4","Cass","466","null","BIRTH009","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","6523","","null","null","2020","null","71.4","null","1","2020","195024.71491540148","null","All","Published"
"670635","18019","County","9","Clark","1351","null","BIRTH009","null","null","null","null","All","All","Year","null","1588412599.121614","null","1","null","null","22960","","null","null","2020","null","58.8","null","1","2020","197621.11083457182","null","All","Published"
"670636","18021","County","7","Clay","287","null","BIRTH009","null","null","null","null","All","All","Year","null","1565006845.8411417","null","1","null","null","4630","","null","null","2020","null","62","null","1","2020","192237.55188481134","null","All","Published"
"670637","18023","County","4","Clinton","424","null","BIRTH009","null","null","null","null","All","All","Year","null","1806432499.484373","null","1","null","null","5716","","null","null","2020","null","74.2","null","1","2020","174382.06613417095","null","All","Published"
"670638","18025","County","10","Crawford","93","null","BIRTH009","null","null","null","null","All","All","Year","null","1308546884.5425615","null","1","null","null","1649","","null","null","2020","null","56.4","null","1","2020","195184.71788809556","null","All","Published"
"670639","18027","County","10","Daviess","533","null","BIRTH009","null","null","null","null","All","All","Year","null","1878247368.2323859","null","1","null","null","5960","","null","null","2020","null","89.4","null","1","2020","192655.75614222788","null","All","Published"
"670640","18029","County","9","Dearborn","525","null","BIRTH009","null","null","null","null","All","All","Year","null","1329448616.5470636","null","1","null","null","8660","","null","null","2020","null","60.6","null","1","2020","157834.76234884912","null","All","Published"
"670641","18031","County","9","Decatur","305","null","BIRTH009","null","null","null","null","All","All","Year","null","1615195765.6479964","null","1","null","null","4797","","null","null","2020","null","63.6","null","1","2020","165078.23331480008","null","All","Published"
"670642","18033","County","3","DeKalb","537","null","BIRTH009","null","null","null","null","All","All","Year","null","1674555397.31401","null","1","null","null","7958","","null","null","2020","null","67.5","null","1","2020","163996.67482293304","null","All","Published"
"670643","18035","County","6","Delaware","1069","null","BIRTH009","null","null","null","null","All","All","Year","null","1760647932.9914546","null","1","null","null","25846","","null","null","2020","null","41.4","null","1","2020","168366.29581379177","null","All","Published"
"670645","18037","County","10","Dubois","524","null","BIRTH009","null","null","null","null","All","All","Year","null","1825931759.792058","null","1","null","null","7115","","null","null","2020","null","73.6","null","1","2020","183146.67387045993","null","All","Published"
"670646","18039","County","2","Elkhart","2911","null","BIRTH009","null","null","null","null","All","All","Year","null","2172529921.2321935","null","1","null","null","39249","","null","null","2020","null","74.2","null","1","2020","186294.45905187665","null","All","Published"
"670647","18041","County","6","Fayette","239","null","BIRTH009","null","null","null","null","All","All","Year","null","941858944.0492244","null","1","null","null","3924","","null","null","2020","null","60.9","null","1","2020","134767.10790970435","null","All","Published"
"670648","18043","County","9","Floyd","806","null","BIRTH009","null","null","null","null","All","All","Year","null","629759236.6714967","null","1","null","null","15149","","null","null","2020","null","53.2","null","1","2020","109077.74865249258","null","All","Published"
"670649","18045","County","4","Fountain","170","null","BIRTH009","null","null","null","null","All","All","Year","null","1767668662.3617282","null","1","null","null","2785","","null","null","2020","null","61","null","1","2020","182418.45245652847","null","All","Published"
"670650","18047","County","9","Franklin","237","null","BIRTH009","null","null","null","null","All","All","Year","null","1698096673.793233","null","1","null","null","3764","","null","null","2020","null","63","null","1","2020","177273.7347755226","null","All","Published"
"670651","18049","County","2","Fulton","218","null","BIRTH009","null","null","null","null","All","All","Year","null","1691016621.707752","null","1","null","null","3357","","null","null","2020","null","64.9","null","1","2020","193345.38339404468","null","All","Published"
"670652","18051","County","10","Gibson","364","null","BIRTH009","null","null","null","null","All","All","Year","null","2076288553.9508362","null","1","null","null","5958","","null","null","2020","null","61.1","null","1","2020","236994.15893647555","null","All","Published"
"670624","18053","County","6","Grant","727","null","BIRTH009","null","null","null","null","All","All","Year","null","1860987961.5318968","null","1","null","null","12698","","null","null","2020","null","57.3","null","1","2020","173075.5793159793","null","All","Published"
"670644","18055","County","7","Greene","305","null","BIRTH009","null","null","null","null","All","All","Year","null","2343017859.6986227","null","1","null","null","5313","","null","null","2020","null","57.4","null","1","2020","199798.52546733723","null","All","Published"
"670653","18057","County","5","Hamilton","3645","null","BIRTH009","null","null","null","null","All","All","Year","null","1780750725.9306178","null","1","null","null","68766","","null","null","2020","null","53","null","1","2020","169078.54894969115","null","All","Published"
"670654","18059","County","5","Hancock","732","null","BIRTH009","null","null","null","null","All","All","Year","null","1347706587.3231847","null","1","null","null","14674","","null","null","2020","null","49.9","null","1","2020","155136.03692074143","null","All","Published"
"670655","18061","County","9","Harrison","407","null","BIRTH009","null","null","null","null","All","All","Year","null","2035125569.8802426","null","1","null","null","7058","","null","null","2020","null","57.7","null","1","2020","202791.60335858766","null","All","Published"
"670656","18063","County","5","Hendricks","1807","null","BIRTH009","null","null","null","null","All","All","Year","null","1794188472.646238","null","1","null","null","33352","","null","null","2020","null","54.2","null","1","2020","177654.63517401853","null","All","Published"
"670657","18065","County","6","Henry","480","null","BIRTH009","null","null","null","null","All","All","Year","null","1742817024.1663437","null","1","null","null","7657","","null","null","2020","null","62.7","null","1","2020","171943.43386855195","null","All","Published"
"670658","18067","County","5","Howard","919","null","BIRTH009","null","null","null","null","All","All","Year","null","1319131602.4414222","null","1","null","null","14755","","null","null","2020","null","62.3","null","1","2020","168836.5976829058","null","All","Published"
"670659","18069","County","3","Huntington","399","null","BIRTH009","null","null","null","null","All","All","Year","null","1754767347.709058","null","1","null","null","6627","","null","null","2020","null","60.2","null","1","2020","171224.51457219163","null","All","Published"
"670660","18071","County","8","Jackson","635","null","BIRTH009","null","null","null","null","All","All","Year","null","2198769901.764601","null","1","null","null","7890","","null","null","2020","null","80.5","null","1","2020","211828.76140003727","null","All","Published"
"670661","18073","County","1","Jasper","367","null","BIRTH009","null","null","null","null","All","All","Year","null","2558390854.4306984","null","1","null","null","6065","","null","null","2020","null","60.5","null","1","2020","228751.54043689586","null","All","Published"
"670662","18075","County","6","Jay","299","null","BIRTH009","null","null","null","null","All","All","Year","null","1718360784.3932874","null","1","null","null","3374","","null","null","2020","null","88.6","null","1","2020","169093.82633148212","null","All","Published"
"670663","18077","County","9","Jefferson","353","null","BIRTH009","null","null","null","null","All","All","Year","null","1548728577.4314666","null","1","null","null","6280","","null","null","2020","null","56.2","null","1","2020","210172.87417847992","null","All","Published"
"670664","18079","County","9","Jennings","353","null","BIRTH009","null","null","null","null","All","All","Year","null","1623646719.723565","null","1","null","null","4792","","null","null","2020","null","73.7","null","1","2020","182727.0912012344","null","All","Published"
"670665","18081","County","5","Johnson","1807","null","BIRTH009","null","null","null","null","All","All","Year","null","1399947162.7783995","null","1","null","null","31598","","null","null","2020","null","57.2","null","1","2020","150610.32778880376","null","All","Published"
"670666","18083","County","10","Knox","396","null","BIRTH009","null","null","null","null","All","All","Year","null","2242705332.2179394","null","1","null","null","6592","","null","null","2020","null","60.1","null","1","2020","272558.4515603146","null","All","Published"
"670667","18085","County","2","Kosciusko","921","null","BIRTH009","null","null","null","null","All","All","Year","null","2538655332.376719","null","1","null","null","14416","","null","null","2020","null","63.9","null","1","2020","211350.33170521233","null","All","Published"
"670668","18087","County","3","Lagrange","726","null","BIRTH009","null","null","null","null","All","All","Year","null","1795733216.9089348","null","1","null","null","7241","","null","null","2020","null","100.3","null","1","2020","172697.49520899847","null","All","Published"
"670669","18089","County","1","Lake","5410","null","BIRTH009","null","null","null","null","All","All","Year","null","2302324034.56977","null","1","null","null","92963","","null","null","2020","null","58.2","null","1","2020","214072.69133742657","null","All","Published"
"670671","18091","County","1","LaPorte","1137","null","BIRTH009","null","null","null","null","All","All","Year","null","2797279284.625065","null","1","null","null","18067","","null","null","2020","null","62.9","null","1","2020","232713.97612125135","null","All","Published"
"670672","18093","County","8","Lawrence","422","null","BIRTH009","null","null","null","null","All","All","Year","null","1928084894.852129","null","1","null","null","7703","","null","null","2020","null","54.8","null","1","2020","175080.81387774093","null","All","Published"
"670673","18095","County","6","Madison","1412","null","BIRTH009","null","null","null","null","All","All","Year","null","2012349835.1619332","null","1","null","null","23067","","null","null","2020","null","61.2","null","1","2020","189934.01105318218","null","All","Published"
"670674","18097","County","5","Marion","13536","null","BIRTH009","null","null","null","null","All","All","Year","null","1768249775.0782163","null","1","null","null","213664","","null","null","2020","null","63.4","null","1","2020","171237.19193768778","null","All","Published"
"670675","18099","County","2","Marshall","547","null","BIRTH009","null","null","null","null","All","All","Year","null","2067653142.8841531","null","1","null","null","7908","","null","null","2020","null","69.2","null","1","2020","181940.13919743468","null","All","Published"
"670676","18101","County","10","Martin","103","null","BIRTH009","null","null","null","null","All","All","Year","null","1452639016.5912","null","1","null","null","1618","","null","null","2020","null","63.7","null","1","2020","167446.89554168071","null","All","Published"
"670677","18103","County","3","Miami","362","null","BIRTH009","null","null","null","null","All","All","Year","null","1704186808.249137","null","1","null","null","5528","","null","null","2020","null","65.5","null","1","2020","194495.0722178321","null","All","Published"
"670678","18105","County","8","Monroe","1113","null","BIRTH009","null","null","null","null","All","All","Year","null","1780474684.1090214","null","1","null","null","39053","","null","null","2020","null","28.5","null","1","2020","182902.27220001767","null","All","Published"
"670679","18107","County","4","Montgomery","397","null","BIRTH009","null","null","null","null","All","All","Year","null","2234566042.838497","null","1","null","null","6415","","null","null","2020","null","61.9","null","1","2020","189612.378685069","null","All","Published"
"670680","18109","County","5","Morgan","670","null","BIRTH009","null","null","null","null","All","All","Year","null","1782885715.0792916","null","1","null","null","12412","","null","null","2020","null","54","null","1","2020","179297.23652777626","null","All","Published"
"670681","18111","County","1","Newton","135","null","BIRTH009","null","null","null","null","All","All","Year","null","1834753645.263788","null","1","null","null","2268","","null","null","2020","null","59.5","null","1","2020","195301.91254645065","null","All","Published"
"670670","18113","County","3","Noble","658","null","BIRTH009","null","null","null","null","All","All","Year","null","1920903965.1248343","null","1","null","null","8543","","null","null","2020","null","77","null","1","2020","179790.78785146226","null","All","Published"
"670682","18115","County","9","Ohio","53","null","BIRTH009","null","null","null","null","All","All","Year","null","371172927.76226074","null","1","null","null","897","","null","null","2020","null","59.1","null","1","2020","92908.11273188339","null","All","Published"
"670707","18117","County","8","Orange","219","null","BIRTH009","null","null","null","null","All","All","Year","null","1730437591.9969425","null","1","null","null","3287","","null","null","2020","null","66.6","null","1","2020","166699.59188106662","null","All","Published"
"670708","18119","County","7","Owen","199","null","BIRTH009","null","null","null","null","All","All","Year","null","1676475314.70993","null","1","null","null","3378","","null","null","2020","null","58.9","null","1","2020","181531.74475488244","null","All","Published"
"670683","18121","County","7","Parke","197","null","BIRTH009","null","null","null","null","All","All","Year","null","1977654977.5560105","null","1","null","null","3404","","null","null","2020","null","57.9","null","1","2020","194033.11248650684","null","All","Published"
"670684","18123","County","10","Perry","167","null","BIRTH009","null","null","null","null","All","All","Year","null","1607847794.8105006","null","1","null","null","2897","","null","null","2020","null","57.6","null","1","2020","204092.3230451005","null","All","Published"
"670685","18125","County","10","Pike","139","null","BIRTH009","null","null","null","null","All","All","Year","null","1455282706.2609153","null","1","null","null","1987","","null","null","2020","null","70","null","1","2020","180913.8898884043","null","All","Published"
"670686","18127","County","1","Porter","1622","null","BIRTH009","null","null","null","null","All","All","Year","null","1934440080.2451656","null","1","null","null","32488","","null","null","2020","null","49.9","null","1","2020","200023.6138176006","null","All","Published"
"670687","18129","County","10","Posey","241","null","BIRTH009","null","null","null","null","All","All","Year","null","1760454828.2291665","null","1","null","null","4189","","null","null","2020","null","57.5","null","1","2020","268626.9969492636","null","All","Published"
"670688","18131","County","2","Pulaski","120","null","BIRTH009","null","null","null","null","All","All","Year","null","1976895476.264857","null","1","null","null","2029","","null","null","2020","null","59.1","null","1","2020","180016.00035916857","null","All","Published"
"670691","18133","County","7","Putnam","346","null","BIRTH009","null","null","null","null","All","All","Year","null","2114347624.744208","null","1","null","null","6802","","null","null","2020","null","50.9","null","1","2020","193497.13916877238","null","All","Published"
"670692","18135","County","6","Randolph","281","null","BIRTH009","null","null","null","null","All","All","Year","null","2009991766.5965216","null","1","null","null","4008","","null","null","2020","null","70.1","null","1","2020","179543.406920394","null","All","Published"
"670693","18137","County","9","Ripley","366","null","BIRTH009","null","null","null","null","All","All","Year","null","1929852184.3391707","null","1","null","null","4914","","null","null","2020","null","74.5","null","1","2020","178720.62541220128","null","All","Published"
"670695","18139","County","6","Rush","190","null","BIRTH009","null","null","null","null","All","All","Year","null","1788779894.8143926","null","1","null","null","2947","","null","null","2020","null","64.5","null","1","2020","170550.35617774996","null","All","Published"
"670696","18141","County","2","St. Joseph","3223","null","BIRTH009","null","null","null","null","All","All","Year","null","2137442538.2216668","null","1","null","null","55070","","null","null","2020","null","58.5","null","1","2020","207099.73590105024","null","All","Published"
"670699","18143","County","9","Scott","305","null","BIRTH009","null","null","null","null","All","All","Year","null","821116475.462408","null","1","null","null","4347","","null","null","2020","null","70.2","null","1","2020","135956.25001727752","null","All","Published"
"670700","18145","County","5","Shelby","455","null","BIRTH009","null","null","null","null","All","All","Year","null","1798330587.7052763","null","1","null","null","7844","","null","null","2020","null","58","null","1","2020","172101.50493806117","null","All","Published"
"670702","18147","County","10","Spencer","225","null","BIRTH009","null","null","null","null","All","All","Year","null","1685030412.2809646","null","1","null","null","3278","","null","null","2020","null","68.6","null","1","2020","197266.6186510998","null","All","Published"
"670703","18149","County","2","Starke","246","null","BIRTH009","null","null","null","null","All","All","Year","null","1437402953.7436337","null","1","null","null","4013","","null","null","2020","null","61.3","null","1","2020","165458.4945859917","null","All","Published"
"670704","18151","County","3","Steuben","321","null","BIRTH009","null","null","null","null","All","All","Year","null","1500653405.4933264","null","1","null","null","5652","","null","null","2020","null","56.8","null","1","2020","155800.11379493726","null","All","Published"
"670710","18153","County","7","Sullivan","202","null","BIRTH009","null","null","null","null","All","All","Year","null","1947688539.7371132","null","1","null","null","3179","","null","null","2020","null","63.5","null","1","2020","188646.4533866164","null","All","Published"
"670711","18155","County","9","Switzerland","122","null","BIRTH009","null","null","null","null","All","All","Year","null","953985822.485336","null","1","null","null","1739","","null","null","2020","null","70.2","null","1","2020","149806.89533564774","null","All","Published"
"670712","18157","County","4","Tippecanoe","2097","null","BIRTH009","null","null","null","null","All","All","Year","null","2248329970.1495166","null","1","null","null","47195","","null","null","2020","null","44.4","null","1","2020","190391.6728056909","null","All","Published"
"670049","18159","County","6","Tipton","169","null","BIRTH009","null","null","null","null","All","All","Year","null","1162498199.8153265","null","1","null","null","2486","","null","null","2020","null","68","null","1","2020","139507.96205483665","null","All","Published"
"670360","18161","County","6","Union","74","null","BIRTH009","null","null","null","null","All","All","Year","null","722350371.1081735","null","1","null","null","1243","","null","null","2020","null","59.5","null","1","2020","108370.9676047063","null","All","Published"
"670713","18163","County","10","Vanderburgh","2119","null","BIRTH009","null","null","null","null","All","All","Year","null","983076789.0488979","null","1","null","null","36242","","null","null","2020","null","58.5","null","1","2020","166933.2109431209","null","All","Published"
"670714","18165","County","7","Vermillion","160","null","BIRTH009","null","null","null","null","All","All","Year","null","1135647435.151307","null","1","null","null","2548","","null","null","2020","null","62.8","null","1","2020","196462.47740196582","null","All","Published"
"670715","18167","County","7","Vigo","1125","null","BIRTH009","null","null","null","null","All","All","Year","null","1784302611.777401","null","1","null","null","21349","","null","null","2020","null","52.7","null","1","2020","187921.78430646184","null","All","Published"
"670716","18169","County","3","Wabash","289","null","BIRTH009","null","null","null","null","All","All","Year","null","1910544927.4219303","null","1","null","null","5428","","null","null","2020","null","53.2","null","1","2020","182680.56505842292","null","All","Published"
"670717","18171","County","4","Warren","78","null","BIRTH009","null","null","null","null","All","All","Year","null","1636582185.731533","null","1","null","null","1359","","null","null","2020","null","57.4","null","1","2020","187145.04700055302","null","All","Published"
"670718","18173","County","10","Warrick","657","null","BIRTH009","null","null","null","null","All","All","Year","null","1636695780.6752317","null","1","null","null","11433","","null","null","2020","null","57.5","null","1","2020","185826.03812337192","null","All","Published"
"670720","18175","County","8","Washington","321","null","BIRTH009","null","null","null","null","All","All","Year","null","2201208953.486287","null","1","null","null","4982","","null","null","2020","null","64.4","null","1","2020","195992.27406812334","null","All","Published"
"670721","18177","County","6","Wayne","803","null","BIRTH009","null","null","null","null","All","All","Year","null","1782543819.9517307","null","1","null","null","11827","","null","null","2020","null","67.9","null","1","2020","175897.5097489313","null","All","Published"
"670722","18179","County","3","Wells","345","null","BIRTH009","null","null","null","null","All","All","Year","null","1670421867.227591","null","1","null","null","4864","","null","null","2020","null","70.9","null","1","2020","186766.15478238545","null","All","Published"
"670709","18181","County","4","White","278","null","BIRTH009","null","null","null","null","All","All","Year","null","2287558667.4044333","null","1","null","null","3932","","null","null","2020","null","70.7","null","1","2020","215880.6924203464","null","All","Published"
"670697","18183","County","3","Whitley","374","null","BIRTH009","null","null","null","null","All","All","Year","null","1546751708.9768984","null","1","null","null","5907","","null","null","2020","null","63.3","null","1","2020","169966.29264005675","null","All","Published"
